各警察局近半年來易發生婦幼被害犯罪地點調查表,,,
539,臺北市士林區忠誠路2段運動公園周邊,臺北市政府警察局,士林分局
540,臺北市士林區芝山捷運站,臺北市政府警察局,士林分局
541,臺北市士林區前港公園籃球場,臺北市政府警察局,士林分局
542,臺北市士林區雨農國小司令台後,臺北市政府警察局,士林分局
543,臺北市士林區聖人瀑布,臺北市政府警察局,士林分局
544,臺北市士林區永公路245巷34弄底重劃區周邊,臺北市政府警察局,士林分局
545,臺北市北投區新市街市場周邊,臺北市政府警察局,北投分局
546,臺北市北投區秀山路貴子坑溪沿線,臺北市政府警察局,北投分局
547,臺北市北投區清江路207巷,臺北市政府警察局,北投分局
548,臺北市北投區大屯路沿線,臺北市政府警察局,北投分局
549,臺北市北投區文林北路175巷,臺北市政府警察局,北投分局
550,臺北市北投區榮總後方停車場,臺北市政府警察局,北投分局
551,臺北市北投區石牌路二段97巷周邊,臺北市政府警察局,北投分局
552,臺北市北投區裕民一路40巷,臺北市政府警察局,北投分局
553,臺北市北投區關渡宮停車場,臺北市政府警察局,北投分局
554,臺北市北投區關渡捷運站2號出口至人行地下道,臺北市政府警察局,北投分局
555,臺北市北投區中央北路三段,臺北市政府警察局,北投分局
556,臺北市北投區光明路131巷,臺北市政府警察局,北投分局
557,臺北市北投區磺港路、三合街口,臺北市政府警察局,北投分局
558,臺北市北投區湖山路2段花鐘周邊,臺北市政府警察局,北投分局
559,臺北市北投區竹子湖路沿線,臺北市政府警察局,北投分局
560,臺北市文山區指南路1段道南橋下,臺北市政府警察局,文山第一分局
561,臺北市文山區興隆路4段96巷內,臺北市政府警察局,文山第一分局
562,臺北市文山區景美溪河堤,臺北市政府警察局,文山第一分局
563,臺北市文山區秀明路2段112巷內,臺北市政府警察局,文山第一分局
564,臺北市文山區萬安街12巷2號周邊,臺北市政府警察局,文山第一分局
565,臺北市南港區研究院路2段九如公園,臺北市政府警察局,南港分局
566,臺北市南港區中坡南路玉成公園,臺北市政府警察局,南港分局
567,臺北市內湖區成功路2段312巷湖興公園,臺北市政府警察局,內湖分局
568,臺北市內湖區內湖路3段60巷50弄一帶,臺北市政府警察局,內湖分局
569,新竹縣新豐鄉火車站旁,新竹縣政府警察局,竹北分局
570,新竹縣竹北市鳳岡路5段155巷52弄附近,新竹縣政府警察局,竹北分局
571,新竹縣竹東鎮興農街藍青診所前,新竹縣政府警察局,竹東分局
572,新竹縣竹北市新國里13鄰新光街,新竹縣政府警察局,竹北分局
573,新竹縣竹北市光明九路與縣政七街附近,新竹縣政府警察局,竹北分局
574,新竹縣竹北市華興街與新明街口,新竹縣政府警察局,竹北分局
575,新竹縣湖口鄉工業二路,新竹縣政府警察局,竹北分局
576,新竹縣五峰鄉花園村天洞道路,新竹縣政府警察局,竹東分局
577,新竹縣寶山鄉三峰村5鄰山區,新竹縣政府警察局,竹東分局
578,新竹縣新埔鎮新龍路230巷附近山邊池塘,新竹縣政府警察局,新埔分局
579,新竹縣新埔鎮旱坑里11鄰旱坑路1段垃圾場,新竹縣政府警察局,新埔分局
580,新竹縣竹北市三民路與博愛街附近,新竹縣政府警察局,竹北分局
581,新竹縣竹北市華興街廣四停車場,新竹縣政府警察局,竹北分局
582,新竹縣竹東鎮仁愛里河濱公園,新竹縣政府警察局,竹東分局
583,新竹縣竹東鎮中豐路三段土地公廟,新竹縣政府警察局,竹東分局
584,新竹縣竹東鎮中山里中山路10-20號,新竹縣政府警察局,竹東分局
585,新竹縣竹北市溝貝偏僻堤防,新竹縣政府警察局,竹北分局
586,新竹縣新豐鄉福隆國小旁超商附近,新竹縣政府警察局,竹北分局
587,新竹縣新豐鄉員山子99-1號附近,新竹縣政府警察局,竹北分局
588,新竹縣橫山鄉橫山街1段54號附近,新竹縣政府警察局,橫山分局
589,新竹縣新埔鎮新北里北打鐵坑,新竹縣政府警察局,新埔分局
590,高雄市新興區七賢一路,高雄市政府警察局,新興分局
591,高雄市新興區洛陽街,高雄市政府警察局,新興分局
592,高雄市新興區信守街,高雄市政府警察局,新興分局
593,高雄市新興區民生一路、復興一路,高雄市政府警察局,新興分局
594,高雄市新興區六合路,高雄市政府警察局,新興分局
595,高雄市新興區中華三路,高雄市政府警察局,新興分局
596,高雄市新興區七賢二路,高雄市政府警察局,新興分局
597,高雄市新興區六合二路,高雄市政府警察局,新興分局
598,高雄市新興區武營路571巷口,高雄市政府警察局,苓雅分局
599,高雄市苓雅區英明路260巷,高雄市政府警察局,苓雅分局
600,高雄市苓雅區武智街4巷,高雄市政府警察局,苓雅分局
601,高雄市苓雅區英義街,高雄市政府警察局,苓雅分局
602,高雄市苓雅區三多一路,高雄市政府警察局,苓雅分局
603,高雄市苓雅區和平二路,高雄市政府警察局,苓雅分局
604,高雄市苓雅區廣州一街,高雄市政府警察局,苓雅分局
605,高雄市苓雅區林安里金門惠安街口,高雄市政府警察局,苓雅分局
606,高雄市苓雅區四維三路人行道上,高雄市政府警察局,苓雅分局
607,高雄市苓雅區成功一路與新田路口,高雄市政府警察局,苓雅分局
608,高雄市苓雅區新田路,高雄市政府警察局,苓雅分局
609,高雄市苓雅區新光路與中華四路,高雄市政府警察局,苓雅分局
610,高雄市苓雅區興中二路,高雄市政府警察局,苓雅分局
611,高雄市苓雅區中山路與三多路口,高雄市政府警察局,苓雅分局
612,高雄市苓雅區三多四路,高雄市政府警察局,苓雅分局
613,高雄市苓雅區四維四路,高雄市政府警察局,苓雅分局
614,高雄市苓雅區四維三路,高雄市政府警察局,苓雅分局
615,高雄市苓雅區自強三路,高雄市政府警察局,苓雅分局
616,高雄市苓雅區建民正言路口,高雄市政府警察局,苓雅分局
617,高雄市苓雅區建國一路,高雄市政府警察局,苓雅分局
618,高雄市苓雅區三多一路,高雄市政府警察局,苓雅分局
619,高雄市苓雅區建民路,高雄市政府警察局,苓雅分局
620,高雄市苓雅區正義路302巷,高雄市政府警察局,苓雅分局
621,高雄市三民區天津、緩遠路口,高雄市政府警察局,三民一分局
622,高雄市三民區十全二路,高雄市政府警察局,三民一分局
623,高雄市三民區同協路沿線,高雄市政府警察局,三民一分局
624,高雄市三民區重慶、北平路口,高雄市政府警察局,三民一分局
625,高雄市三民區重慶、緩遠路口,高雄市政府警察局,三民一分局
626,高雄市三民區覺民路,高雄市政府警察局,三民一分局
627,高雄市三民區建元路9巷,高雄市政府警察局,三民二分局
628,高雄市三民區建興路99巷20弄,高雄市政府警察局,三民二分局
629,高雄市三民區興昌街,高雄市政府警察局,三民二分局
630,高雄市三民區建興、建武路口,高雄市政府警察局,三民二分局
631,高雄市三民區正忠路,高雄市政府警察局,三民二分局
632,高雄市三民區建興路巷弄內,高雄市政府警察局,三民二分局
633,高雄市三民區天祥一路125巷,高雄市政府警察局,三民二分局
634,高雄市三民區大裕鼎金路口,高雄市政府警察局,三民二分局
635,高雄市三民區覺民、民豐路口,高雄市政府警察局,三民二分局
636,高雄市三民區義華路159巷,高雄市政府警察局,三民二分局
637,高雄市三民區澄和路,高雄市政府警察局,三民二分局
638,高雄市三民區大順二路民族路口,高雄市政府警察局,三民二分局
639,高雄市三民區立志街13巷,高雄市政府警察局,三民二分局
640,高雄市三民區正忠路,高雄市政府警察局,三民二分局
641,高雄市三民區立志街38巷,高雄市政府警察局,三民二分局
642,高雄市前鎮區英明一路,高雄市政府警察局,前鎮分局
643,高雄市前鎮區育群街295巷1弄,高雄市政府警察局,前鎮分局
644,高雄市前鎮區和平二路,高雄市政府警察局,前鎮分局
645,高雄市前鎮區中山路、鎮中路,高雄市政府警察局,前鎮分局
646,高雄市前鎮區佛公路、佛道路,高雄市政府警察局,前鎮分局
647,高雄市前鎮區明道二街,高雄市政府警察局,前鎮分局
648,高雄市前鎮區鎮東街,高雄市政府警察局,前鎮分局
649,高雄市前鎮區中山、復興路口,高雄市政府警察局,前鎮分局
650,高雄市前鎮區時代大道,高雄市政府警察局,前鎮分局
651,高雄市鹽埕區音樂館,高雄市政府警察局,鹽埕分局
652,高雄市鹽埕區大仁路,高雄市政府警察局,鹽埕分局
653,明倫路一帶(近高等法院),高雄市政府警察局,鼓山分局
654,高雄市鼓山區篤敬、文信路口,高雄市政府警察局,鼓山分局
655,高雄市鼓山區裕誠路沿線,高雄市政府警察局,鼓山分局
656,高雄市鼓山區龍德路沿線,高雄市政府警察局,鼓山分局
657,高雄市鼓山區文忠路與篤敬路口,高雄市政府警察局,鼓山分局
658,高雄市鼓山區明倫路,高雄市政府警察局,鼓山分局
659,高雄市鼓山區九如、吳鳳路口 ,高雄市政府警察局,鼓山分局
660,高雄市鼓山區鼓山三路,高雄市政府警察局,鼓山分局
661,高雄市鼓山區逢甲、銘傳路85巷口,高雄市政府警察局,鼓山分局
662,高雄市鼓山區臨海二路30巷,高雄市政府警察局,鼓山分局
663,高雄市左營區蓮潭路→明潭路→翠華路,高雄市政府警察局,左營分局
664,高雄市左營區左營大路,高雄市政府警察局,左營分局
665,高雄市左營區富民.明誠路口,高雄市政府警察局,左營分局
666,高雄市左營區南屏.裕誠路口,高雄市政府警察局,左營分局
667,高雄市左營區重清路278巷1弄、裕誠路,高雄市政府警察局,左營分局
668,高雄市左營區博愛四路與大中二路,高雄市政府警察局,左營分局
669,高雄市左營區民族路 ,高雄市政府警察局,左營分局
670,高雄市左營區崇實新村,高雄市政府警察局,左營分局
671,高雄市左營區果貿社區,高雄市政府警察局,左營分局
672,高雄市左營區新莊仔路(翠華至勝利路口),高雄市政府警察局,左營分局
673,高雄市左營區舊城巷,高雄市政府警察局,左營分局
674,高雄市左營區軍校路國軍左營醫院附近,高雄市政府警察局,左營分局
675,高雄市左營區博愛三路與大中二路口,高雄市政府警察局,左營分局
676,高雄市左營區民族路文藻學校附近,高雄市政府警察局,左營分局
677,高雄市楠梓區右昌街,高雄市政府警察局,楠梓分局
678,高雄市小港區港平路,高雄市政府警察局,小港分局
679,高雄市小港區平和西路,高雄市政府警察局,小港分局
680,高雄市小港區平和東路與平和南路口,高雄市政府警察局,小港分局
681,高雄市小港區東亞路,高雄市政府警察局,小港分局
682,高雄市小港區翠亨南與平和東路口,高雄市政府警察局,小港分局
683,高雄市小港區漢美街,高雄市政府警察局,小港分局
684,高雄市小港區平和十路與鋼平街口,高雄市政府警察局,小港分局
685,高雄市小港區桂義街與桂德街口,高雄市政府警察局,小港分局
686,高雄市小港區華昌街93巷口,高雄市政府警察局,小港分局
687,高雄市小港區桂陽路與桂明街口,高雄市政府警察局,小港分局
688,高雄市小港區高松路與山田路口,高雄市政府警察局,小港分局
689,高雄市小港區高松路高架橋下,高雄市政府警察局,小港分局
690,高雄市小港區高松路松金街口,高雄市政府警察局,小港分局
691,高雄市小港區松和路,高雄市政府警察局,小港分局
692,高雄市小港區華山路段,高雄市政府警察局,小港分局
693,高雄市小港區漢民與金府路口,高雄市政府警察局,小港分局
694,高雄市小港區R3捷運站出口,高雄市政府警察局,小港分局
695,高雄市鳳山區經武路,高雄市政府警察局,鳳山分局
696,高雄市鳳山區和平路火車站地下道,高雄市政府警察局,鳳山分局
697,高雄市鳳山區和平路與文和街口,高雄市政府警察局,鳳山分局
698,高雄市鳳山區南福街,高雄市政府警察局,鳳山分局
699,高雄市鳳山區五甲二路沿線,高雄市政府警察局,鳳山分局
700,高雄市鳳山區林森路沿線,高雄市政府警察局,鳳山分局
701,高雄市鳳山區南安路與五福二路100巷口,高雄市政府警察局,鳳山分局
702,高雄市鳳山區長明街沿線,高雄市政府警察局,鳳山分局
703,高雄市鳳山區中山東路229巷15弄與瑞明街口,高雄市政府警察局,鳳山分局
704,高雄市鳳山區頂新路與過勇路口,高雄市政府警察局,鳳山分局
705,高雄市鳳山區鳳頂路沿線,高雄市政府警察局,鳳山分局
706,高雄市鳳山區鳳南路,高雄市政府警察局,鳳山分局
707,高雄市鳳山區保華路與寶陽路口,高雄市政府警察局,鳳山分局
708,高雄市岡山區橋新六路與橋新十路口,高雄市政府警察局,岡山分局
709,高雄市旗山區中山路,高雄市政府警察局,旗山分局
710,高雄市六龜區六龜區荖濃國小廁所,高雄市政府警察局,六龜分局
711,高雄市六龜區茂林區茂林國小廁所,高雄市政府警察局,六龜分局
712,高雄市六龜區桃源區復興里環保公園,高雄市政府警察局,六龜分局
713,高雄市林園區林園北路,高雄市政府警察局,林園分局
714,高雄市林園區忠孝路與文化路口,高雄市政府警察局,林園分局
715,高雄市大寮區鳳林二路,高雄市政府警察局,林園分局
716,高雄市大寮區光明路一段,高雄市政府警察局,林園分局
717,高雄市大寮區光明路一段與光華路口,高雄市政府警察局,林園分局
718,高雄市大寮區會社里正氣路段,高雄市政府警察局,林園分局
719,高雄市大寮區內坑里內坑路段,高雄市政府警察局,林園分局
720,南投縣草屯鎮雙冬里中正路紫雲宮,南投縣政府警察局,草屯分局
721,南投縣草屯鎮平林里藝術大道,南投縣政府警察局,草屯分局
722,南投縣草屯鎮太平路,南投縣政府警察局,草屯分局
723,南投縣草屯鎮育英街,南投縣政府警察局,草屯分局
724,南投縣草屯鎮博愛路號,南投縣政府警察局,草屯分局
725,南投縣草屯鎮成功路,南投縣政府警察局,草屯分局
726,南投縣草屯鎮芬草路三段,南投縣政府警察局,草屯分局
727,南投縣草屯鎮新豐路,南投縣政府警察局,草屯分局
728,南投縣南投市中山街,南投縣政府警察局,南投分局
729,南投縣南投市集賢路,南投縣政府警察局,南投分局
730,南投縣南投市族路,南投縣政府警察局,南投分局
731,南投縣南投市南崗二路,南投縣政府警察局,南投分局
732,南投縣南投市大同街,南投縣政府警察局,南投分局
733,南投縣集集鎮水尾路,南投縣政府警察局,集集分局
734,南投縣集集鎮名水路二段,南投縣政府警察局,集集分局
735,南投縣水里鄉北埔村中山路一段,南投縣政府警察局,集集分局
736,南投縣水里鄉中央村民生路,南投縣政府警察局,集集分局
737,南投縣水里鄉新城民權路,南投縣政府警察局,集集分局
738,南投縣水里鄉農富村大灣路,南投縣政府警察局,集集分局
739,南投縣竹山鎮集山路3段,南投縣政府警察局,竹山分局
740,南投縣竹山鎮雲林路,南投縣政府警察局,竹山分局
741,南投縣竹山鎮菜園路,南投縣政府警察局,竹山分局
742,南投縣竹山鎮大禮路,南投縣政府警察局,竹山分局
743,南投縣竹山鎮延平里集山路二段,南投縣政府警察局,竹山分局
744,南投縣竹山鎮山崇巷,南投縣政府警察局,竹山分局
745,南投縣埔里鎮東榮路,南投縣政府警察局,埔里分局
746,南投縣埔里鎮北環路,南投縣政府警察局,埔里分局
747,南投縣埔里鎮仁愛路,南投縣政府警察局,埔里分局
748,南投縣埔里鎮西門里西寧路,南投縣政府警察局,埔里分局
749,南投縣埔里鎮中山路三段,南投縣政府警察局,埔里分局
750,南投縣埔里仁愛路中正路口,南投縣政府警察局,埔里分局
751,南投縣南投市中華路,南投縣政府警察局,中興分局
752,南投縣南投市北營里中學西路,南投縣政府警察局,中興分局
753,新北市三重區三陽路100巷,新北市政府警察局,三重分局
754,新北市三重區後竹圍、力行路口,新北市政府警察局,三重分局
755,新北市三重區忠孝路二段,新北市政府警察局,三重分局
756,新北市三重區大智街,新北市政府警察局,三重分局
757,新北市三重區忠孝路三段,新北市政府警察局,三重分局
758,新北市三重區三民街,新北市政府警察局,三重分局
759,新北市三重區中興北街,新北市政府警察局,三重分局
760,新北市三重區中興南街,新北市政府警察局,三重分局
761,新北市三重區正義北路,新北市政府警察局,三重分局
762,新北市中和區興南路2段烘爐地附近,新北市政府警察局,中和第一分局
763,新北市中和區忠孝街,新北市政府警察局,中和第一分局
764,新北市中和區安樂路,新北市政府警察局,中和第一分局
765,新北市中和區和平街,新北市政府警察局,中和第一分局
766,新北市中和區中興街,新北市政府警察局,中和第一分局
767,新北市中和區景安路,新北市政府警察局,中和第一分局
768,新北市中和區南華路,新北市政府警察局,中和第一分局
769,新北市中和區中興街,新北市政府警察局,中和第一分局
770,新北市中和區立德街,新北市政府警察局,中和第二分局
771,新北市中和區板南路,新北市政府警察局,中和第二分局
772,新北市三重區忠孝路,新北市政府警察局,中和第二分局
773,新北市板橋區重慶路,新北市政府警察局,板橋分局
774,新北市板橋區館前東路,新北市政府警察局,板橋分局
775,新北市板橋區信義路,新北市政府警察局,板橋分局
776,新北市板橋區中山路1.2段,新北市政府警察局,海山分局
777,新北市板橋區文化路2段,新北市政府警察局,海山分局
778,新北市板橋區縣民大道民生路段,新北市政府警察局,海山分局
779,新北市板橋區雙十路段,新北市政府警察局,海山分局
780,新北市板橋區新埔捷運站鄰近路段,新北市政府警察局,海山分局
781,新北市板橋區江子翠捷運站鄰近路段,新北市政府警察局,海山分局
782,新北市板橋區長江路1段,新北市政府警察局,海山分局
783,新北市板橋區裕民街路段,新北市政府警察局,海山分局
784,新北市淡水區淡金路三段,新北市政府警察局,淡水分局
785,新北市新店區安康森林公園,新北市政府警察局,新店分局
786,新北市新店區安德街,新北市政府警察局,新店分局
787,新北市新店區安民街、碧安街,新北市政府警察局,新店分局
788,新北市烏來區溫泉街,新北市政府警察局,新店分局
789,新北市新莊區化成路,新北市政府警察局,新莊分局
790,新北市樹林區中正路,新北市政府警察局,樹林分局
791,新北市樹林區柑園街二段,新北市政府警察局,樹林分局
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,




































































